id,external_id,name,equipment,muscle,category,has_gif,gif_url,illustration_slug,match_method,frame1,frame2,frame3,status
"1","abductors/lever-seated-hip-abduction","Lever Seated Hip Abduction","lever","abductors","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/abductors/lever-seated-hip-abduction.gif","banded-seated-hip-abduction","fuzzy(0.75)","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/banded-seated-hip-abduction/frame-1.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/banded-seated-hip-abduction/frame-2.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/banded-seated-hip-abduction/frame-3.svg","both"
"2","abductors/resistance-band-seated-hip-abduction","Resistance Band Seated Hip Abduction","band","abductors","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/abductors/resistance-band-seated-hip-abduction.gif","banded-seated-hip-abduction","fuzzy(0.75)","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/banded-seated-hip-abduction/frame-1.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/banded-seated-hip-abduction/frame-2.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/banded-seated-hip-abduction/frame-3.svg","both"
"3","abductors/side-bridge-hip-abduction","Side Bridge Hip Abduction","bodyweight","abductors","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/abductors/side-bridge-hip-abduction.gif","side-lying-hip-abduction","fuzzy(0.60)","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/side-lying-hip-abduction/frame-1.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/side-lying-hip-abduction/frame-2.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/side-lying-hip-abduction/frame-3.svg","both"
"4","abductors/side-hip-abduction","Side Hip Abduction","bodyweight","abductors","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/abductors/side-hip-abduction.gif","side-lying-hip-abduction","fuzzy(0.75)","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/side-lying-hip-abduction/frame-1.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/side-lying-hip-abduction/frame-2.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/side-lying-hip-abduction/frame-3.svg","both"
"5","abductors/straight-leg-outer-hip-abductor","Straight Leg Outer Hip Abductor","bodyweight","abductors","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/abductors/straight-leg-outer-hip-abductor.gif","","","","","","gif_only"
"6","abs/3-4-sit-up","3 4 Sit Up","bodyweight","abs","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/abs/3-4-sit-up.gif","","","","","","gif_only"
"7","abs/45-side-bend","45 Side Bend","bodyweight","abs","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/abs/45-side-bend.gif","dumbbell-side-bend","fuzzy(0.50)","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/dumbbell-side-bend/frame-1.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/dumbbell-side-bend/frame-2.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/dumbbell-side-bend/frame-3.svg","both"
"8","abs/air-bike","Air Bike","bodyweight","abs","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/abs/air-bike.gif","","","","","","gif_only"
"9","abs/alternate-heel-touchers","Alternate Heel Touchers","bodyweight","abs","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/abs/alternate-heel-touchers.gif","","","","","","gif_only"
"10","abs/arm-slingers-hanging-bent-knee-legs","Arm Slingers Hanging Bent Knee Legs","bodyweight","abs","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/abs/arm-slingers-hanging-bent-knee-legs.gif","","","","","","gif_only"
